timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2025/06/06 14:52:48.608, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 27, 0 %, 0 %, 16384 MiB, 16145 MiB, 1 MiB
2025/06/06 14:52:51.625, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 28, 0 %, 0 %, 16384 MiB, 14871 MiB, 1274 MiB
2025/06/06 14:52:54.641, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 28, 0 %, 0 %, 16384 MiB, 14627 MiB, 1518 MiB
2025/06/06 14:52:57.658, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 33, 99 %, 22 %, 16384 MiB, 13743 MiB, 2402 MiB
2025/06/06 14:53:00.674, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 29, 0 %, 0 %, 16384 MiB, 13705 MiB, 2440 MiB
2025/06/06 14:53:03.690, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 29, 0 %, 0 %, 16384 MiB, 12545 MiB, 3600 MiB
2025/06/06 14:53:06.707, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 34, 96 %, 29 %, 16384 MiB, 12455 MiB, 3690 MiB
2025/06/06 14:53:09.723, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 36, 96 %, 29 %, 16384 MiB, 12455 MiB, 3690 MiB
2025/06/06 14:53:12.739, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 37, 96 %, 28 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 14:53:15.754, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 38, 96 %, 29 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 14:53:18.770, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 39, 96 %, 30 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 14:53:21.786, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 40, 96 %, 28 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 14:53:24.802, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 41, 96 %, 29 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 14:53:27.817, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 41, 96 %, 29 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 14:53:30.833, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 42, 96 %, 29 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 14:53:33.849, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 43, 96 %, 28 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 14:53:36.865, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 43, 96 %, 27 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 14:53:39.881, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 44, 96 %, 28 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 14:53:42.896, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 45, 96 %, 29 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 14:53:45.912, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 45, 96 %, 28 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 14:53:48.928, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 46, 96 %, 29 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 14:53:51.944, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 46, 96 %, 28 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 14:53:54.960, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 47, 97 %, 29 %, 16384 MiB, 11717 MiB, 4428 MiB
2025/06/06 14:53:57.975, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 565.57.01, 47, 96 %, 29 %, 16384 MiB, 11717 MiB, 4428 MiB
